# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 899 21 7228 1191
p 2 0 885 35 7439 1179
p 2 0 881 39 7389 1190
p 2 0 891 29 7411 1173
p 2 0 904 16 7621 1213
p 2 0 910 10 7393 1205
p 2 0 896 24 7576 1210
p 2 0 885 35 7152 1162
p 2 0 907 13 7519 1200
p 2 0 888 32 7441 1181
p 2 0 891 29 7503 1185
p 2 0 874 46 7302 1175
p 2 0 908 12 7655 1210
p 2 0 885 35 7564 1186
p 2 0 905 15 7575 1216
p 2 0 876 44 7298 1182
p 2 0 900 20 7379 1206
p 2 0 883 37 7344 1170
p 2 0 889 31 7336 1197
p 2 0 868 52 7327 1166
p 2 0 896 24 7612 1202
p 2 0 893 27 7980 1201
p 2 0 891 29 7512 1205
p 2 0 847 73 7315 1155
p 2 0 898 22 7257 1217
p 2 0 901 19 7504 1206
p 2 0 890 30 7358 1202
p 2 0 885 35 7542 1200
p 2 0 907 13 7732 1229
p 2 0 901 19 7945 1209
p 2 0 899 21 7597 1216
p 2 0 899 21 7380 1190
p 2 0 900 20 7399 1225
p 2 0 901 19 7503 1204
p 2 0 870 50 7345 1184
p 2 0 885 35 7438 1183
p 2 0 908 12 7365 1211
p 2 0 898 22 7625 1216
p 2 0 888 32 7515 1211
p 2 0 875 45 7421 1177
p 2 0 900 20 7412 1206
p 2 0 891 29 7447 1204
p 2 0 881 39 7308 1201
p 2 0 865 55 7318 1173
p 2 0 904 16 7337 1206
p 2 0 903 17 7670 1219
p 2 0 897 23 7426 1225
p 2 0 894 26 7672 1200
p 2 0 880 40 7511 1204
p 2 0 897 23 7598 1220
p 2 0 901 19 7402 1219
p 2 0 889 31 7300 1197
p 2 0 906 14 7440 1229
p 2 0 879 41 7653 1196
p 2 0 878 42 7604 1203
p 2 0 897 23 7817 1197
p 2 0 903 17 7690 1229
p 2 0 892 28 7728 1207
p 2 0 895 25 7738 1234
p 2 0 872 48 7551 1193
p 2 0 904 16 7845 1235
p 2 0 883 37 7938 1194
p 2 0 859 61 7853 1192
p 2 0 895 25 8028 1218
p 2 0 907 13 7996 1236
p 2 0 885 35 8064 1209
p 2 0 889 31 7935 1226
p 2 0 883 37 7867 1210
p 2 0 902 18 7952 1240
